Tweet,Etiket
güzel izmirimizden acı görüntüler geliyor burası alsancakbirçok bina yıkılmış allah yardımcımız olsun yakınlarımıza telefon hatları üzerinden ulaşamıyoruz şimdilik whatsapp üzerinden aramalar sağlanmalı httpstcopyj2ajzadf,Tarafsız
yarın çok geç olabilir bu cümleyi asla aklınızdan çıkarmayın deprem,Tarafsız
izmir bornovada 8 katlı bina çöktü enkaz altında kalanlar var umarım can kaybı yaşanmaz deprem httpstcomzl4o67yug,Tarafsız
depremlerde ve acil durumlarda iletişimin kesilmemesi için internet tabanlı haberleşme uygulamaları ve smsi tercih edin httpstcogtjcjgjbvz,Tarafsız
izmirde deprem sonrası birçok binanın yıkıldığı bilgisi geliyor işte görüntüler deprem httpstcowdkgvtwltt,Tarafsız
deprem kusadasi korfezi ege denizi httpstcoitjlw1ge28 30102020 145929 tsi büyüklük 41 derinlik 81 km kandilli,Tarafsız
izmir başta olmak üzere çevre illerde ve yurt genelinde yaşayan vatandaşlarımıza önemli bilgilendirme lütfen telefon ile iletişim yerine sms facetime whatsapp ya da internet tabanlı benzer uygulamaları kullanmayı tercih ediniz iletişimin kesilmemesi önceliğimiz olmalı httpstcoirecnttep1,Tarafsız
izmirde 66 büyüklüğündeki depremin etkisiyle bornovada bir bina çöktü httpstco4cqk48lfw9 httpstcoruzabzrvuj,Tarafsız
alaskada 2018 yılında meydana gelen 71 şiddetindeki depremde öğrencilerin gösterdiği refleks işte bunlar hep eğitim deprem httpstco8vzpnijgo2,Olumsuz
izmir bayraklı deprem httpstcoq2nqquaghr,Tarafsız
büyük geçmiş olsun fena sallandık izmir ve çevresi deprem büyüklük 66 mw yer ege denizi 1726 km seferihisar izmir tarihsaat 30102020 145124,Tarafsız
seferihisar açıklarında meydana gelen 66 büyüklüğündeki deprem adamız dahil birçok yerde hissedildi hepimize geçmiş olsun diliyorum herhangi bir can ya da mal kaybı olmaması en büyük temennimiz güvercin masamıza 444 71 14 numaralı hattan ulaşabilirsiniz,Tarafsız
kentimizde meydana gelen deprem sonrası binasında çatlak veya hasar meydana gelen hemşehrilerimizin bizlere 444 71 14 nolu telefon üzerinden ulaşmasını rica ederiz tüm halkımıza geçmiş olsun,Tarafsız
çok büyük geçmiş olsun izmir deprem httpstcov2df76phfe,Tarafsız
izmirde yıkılan binalar var deprem httpstcodfgvr11hmg,Tarafsız
ege denizi nde meydana gelen 66 şiddetindeki deprem sonrası izmirde bazı bölgelerden toz bulutları yükseliyormuş allahım sen koru yarabbim httpstco4ovjjmi8c9,Olumsuz
bak yine deprem olmadı hayallerim yıkıldı falan yazmayin aminiza korum sizin cok fena öteki tarafa gittik geldik,Tarafsız
merkez üssü ege denizi olan başta izmir olmak üzere birçok ilimizde de hissedilen depremde can ve mal kaybı yaşanmamış olmasını diliyor depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimizi iletiyoruz httpstcovpvcb8hwlg,Tarafsız
lütfen cep telefonu sesli görüşme hatlarini gerekmedikçe kullanmayin data hatti whatsapp messenger twitter dm sms üzerinden haberleşin izmir deprem,Tarafsız
deprem anında ilk elden sms atın durumunuzu yakınınıza bildirin sonra whatsap araması yapın normalde aradığınızda ulaşamıyorsanız bir daha denemeyin sms ve whatsap ile mesaj atmanız yapabileceğiniz en işlevli iki şey ötesini hatlar düzelene kadar zorlamayın,Tarafsız
ege denizinde ilk belirlemelere göre 68 büyüklüğünde gerçekleşen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun allah cc güzel ülkemizi tüm afetlerden muhafaza etsin,Tarafsız
geçmiş olsun güzel izmir rabbim beterinden korusun inşallah can kaybımız olmaz depremi yaşamış van halkı olarak kalbimiz sizlerle deprem,Tarafsız
izmirin seferihisar ilçesinde ilk belirlemelere göre 66 büyüklüğünde bir deprem meydana geldi beşir derneği ege bölge müdürlüğüne bağlı ekiplerimiz bölgede yaşanan gelişmeleri yakından takip etmektedir,Tarafsız
sığacıkta deniz çekildi tekneler karaya oturdu httpstcog2uqmj47rq,Tarafsız
geçmiş olsun izmir deprem izmir httpstcovqj0zu6jwv,Tarafsız
izmirde deprem oluyor biz istanbuldan hissediyoruz bu olay sarsıntının şiddetini zaten belli ediyor umarım izmirde beklenen o büyük deprem budur ve inşallah bir can kaybı yaşanmadan atlattık diyebiliriz hepimize geçmiş olsun,Olumsuz
depremlerde ve acil durumlarda iletişimin kesilmemesi için internet tabanlı haberleşme uygulamaları ve smsi tercih edin httpstcogu5529ydrh,Tarafsız
geçmiş olsun izmir 66 deprem httpstcob96d0w3zgc,Tarafsız
izmirde 68 şiddetinde deprem olmuş yıkılan binalar var çok geçmiş olsun inşallah can kaybı yoktur deprem httpstco2ciijtooln,Olumsuz
izmirde meydana gelen ve çevre illerde de hissedilen depremin can ve mal kaybına sebep olmamasını diliyor sarsıntıdan etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimizi iletiyoruz deprem,Tarafsız
izmirde durum çok fena yıkılan apartmanlar var deprem izmirdeprem httpstcoyoomxizpbm,Tarafsız
izmirden gelen görüntüler deprem httpstcojlwwqx1wxm,Tarafsız
deprem geçmiş olsun izmir 2020 son hızıyla devam ediyor httpstcoczc3rgwv0e,Tarafsız
ege denizinde meydana gelen ve birçok ilimizde hissedilen depremde can ve mal kaybının olmamasını temenni ediyor depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimizi iletiyoruz httpstco1eiugwtcus,Tarafsız
izmirde meydana gelen deprem sonrası bazı binaların yıkıldığı söyleniyor httpstcosta0y0yupb,Tarafsız
ege denizinde deprem kandilli rasathanesi kuşadası açıklarında 68 büyüklüğünde bir sarsıntı oldu httpstcogbowbuqlcc httpstcolobebkieyh,Tarafsız
1 yaşanan deprem sonrası gsm operatörlerinin çökmesi oldukça kötü bir durum kişisel olarak neler yapılabileceğine dair birkaç önerim olacak eğer bu öneriler dikkate alınırsa en azından yoğunluk sebebiyle bu tür çökmeler yaşanmaz ayrıca depremi yaşayan herkese çok geçmiş olsun,Tarafsız
izmirde maalesef hasar büyük deprem httpstco0grwuonn1a,Tarafsız
merkez üssü izmir seferihisar açıkları olan ve istanbulda da hissedilen 66 büyüklüğünde depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum rabbim ülkemizi ve milletimizi her türlü afetten korusun deprem,Tarafsız
lütfen hatları meşgul etmeyin şu an bize ulaşmak isteyen ama ulaşamayanlar oluyor babama ulaşamıyorum lütfen mesaj ile haberleşelim hatları meşgul etmeyelim izmir deprem,Tarafsız
izmirde yıkılan binalar böyle görüntülendi rabbimden tek duam can kaybının olmaması bu güzel ülkeyi her türlü felaketten muhafaza eyle allahım deprem httpstcosaawsjpdmj,Tarafsız
imâm şafiînin duâsı allahım her türlü âfet ve belâdan gece ve gündüz gelecek musibetlerden kutsallığının nuruna kutluluğunun büyüklüğüne temizliğinin azametine sığınırım hayırdan başka bizi her şeyden koru bize yalnız hayır ver allahım deprem,Tarafsız
lütfen dikkat httpstcoclvcrh4inp,Tarafsız
mecbur kalmadıkça mobil hatları meşgul etmeyin deprem,Tarafsız
izmir bornovada 8 katlı bina çöktü enkaz altında kalanlar var umarım can kaybı yaşanmaz deprem httpstco6reeknqtxl,Tarafsız
lütfen cep telefonu sesli görüşme hatlarini gerekmedikçe kullanmayin data hatti whatsapp messenger twitter dm sms üzerinden haberleşin izmir deprem,Tarafsız
geçmiş olsun izmir deprem httpstcoubixuvjx9i,Tarafsız
lütfen cep telefonlarını meşgul etmeyin gerekmedikçe bir süre kimseyi aramayın egedeki dostlar için meşgul etmeyin hatları deprem izmir,Tarafsız
yalvarıyorum lütfen sesimizi duyun izmirde deprem sonucu binamız bu halde 6 katlı 18 daire 18 koca aile batar kat inşa ettikleri için binasız kaldık bu bina artık tek bir sarsıntı dahi kaldırmaz bu eve hiçbirimiz giremeyiz httpstcoonmvlsc0sv,Tarafsız
izmir seferihisar merkezli yaşanan depremin herhangi bir can ve mal kaybına sebep olmamasını diler izmirbld ve başkanı tuncsoyer nezdinde tüm izmirlilere geçmiş olsun dileklerimizi iletiriz deprem httpstcoswdxrgrrug,Tarafsız
maalesef izmirde yıkılan binalar var en büyük temennimiz can kaybı yaşanmaması çok büyük geçmiş olsun deprem izmir httpstcoinrmbax8jq,Tarafsız
izmir istanbul ve çevre illerde hissedilen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun diliyorum can ve mal kaybı olmamasını temenni ediyorum allah ülkemizi ve milletimizi tüm afetlerden muhafaza eylesin,Tarafsız
çok ciddi bir deprem maalesef ciddi etkileri olabilir arama kurtarma dahil acil durum iletişim ve koordinasyonunu rahatlatmak için telefon hatlarını acil değilse kullanmayalım zor bir gün güzel izmir umalım bu günü mümkün olan en az acıyla atlatalım,Tarafsız
izmirde 66 büyüklüğündeki depremin etkisiyle bir bina çöktü deprem httpstcobsyzvmrukd httpstcomwaeyrcidv,Tarafsız
deprem gibi acil durum ve afetlerde sevdiklerinize tek bir smsle güvende olduğunuzu bildirmek için güvendeyim adlı uygulamamızı telefonunuza indirin deprem izmir,Tarafsız
ege denizinde gerçekleşen ve birçok ilde hissedilen deprem hepimizi çok endişelendirdi bölgedeki son durum ve ihtiyaçlar konusunda sağlıklı bilgi akışına ihtiyacımız var aşağıdaki buton aracılığıyla bizimle iletişime geçebilirsiniz httpstcooc2641ytcd,Tarafsız
izmirdeki deprem çok ciddi inşallah herkes hasarsız atlatmıştır,Tarafsız
izmir de büyük deprem izmire geçmiş olsun rabbim can kaybindan korusun httpstcorglthnxqts,Tarafsız
izmirde yaşanan depremde çöken bir bina böyle görüntülendi httpstcodoh5cychnn,Tarafsız
izmirde ilk belirlemelere göre 66 şiddetinde meydana gelen ve çevre illerden de hissedilen depremde can ve mal kaybının olmamasını temenni ederiz depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimizi iletiyoruz httpstcouj24v6qjxg,Olumsuz
tüm vatandaşlarimiza önemle duyurulur operatörlerin israrla bu konuda adim atmamasini kiniyoruz deprem izmir httpstcovgmtpxy3wc,Tarafsız
afad verilerine göre merkez üssü ege denizi seferihisar olan 66 büyüklüğünde deprem meydana gelmiştir depremden etkilenen tüm vatandaşlarımıza geçmiş olsun,Tarafsız
depremin şiddeti gözle görülecek kadar büyük dualarımız izmir ile deprem httpstcocn2azb3edd,Olumsuz
ege denizinde gerçekleşen ve birçok ilde hissedilen 68 şiddetindeki deprem hepimizi çok endişelendirdi bölgedeki son durum ve ihtiyaçlar konusunda sağlıklı bilgi akışına ihtiyacımız var ahbap_izmir hesabına özel mesaj göndererek bizimle iletişime geçebilirsiniz,Olumsuz
acil bir durum olmadıkça mobil aramaları kullanmayalım iletişimimizi internet üzerinden sağlayalım deprem,Tarafsız
izmirden gelen görüntüler deprem httpstcon1urgsvkfo,Tarafsız
izmirde deprem anında bir binadan gelen çatırdı sesleri depremin şiddetini gösteriyor deprem httpstco7kutjs9bgo,Olumsuz
lütfen cep telefonlarını meşgul etmeyin gerekmedikçe bir süre kimseyi aramayın egedeki dostlar için meşgul etmeyin hatları deprem,Tarafsız
lütfen cep telefonlarını meşgul etmeyin gerekmedikçe bir süre kimseyi aramayın egedeki dostlar için meşgul etmeyin hatları deprem izmir,Tarafsız
deprem çok kötü sallamış geçmiş olsun herkese httpstcocjc2mfobgc,Tarafsız
geçmiş olsun izmir dualarımız sizlerle deprem httpstcor0q7yrcsmj,Tarafsız
1999 depremini yaşamış bir kişi olarak izmir bayraklıda deniz kenarında ve 15 katta yaşadığım bu depremi tarif etmek mümkün değil uçakta şiddetli türbülansa yakalanmış gibiydik umarım şehirde büyük hasar yoktur yandaki binanın durumu budur httpstcowki1uxtvuv,Olumsuz
binanin yarisi çökmüş httpstcougrzupvcrn,Tarafsız
izmirde deprem sonrası birçok bina maalesef yıkıldı geçmiş olsun deprem httpstcoeghv1ddclo,Tarafsız
izmirden gelen bir başka görüntü deprem httpstcohhbxt6umct,Tarafsız
geçmiş olsun izmir inşaallah deprem de can kaybı yoktur merkez üssü izmir olan muğla istanbul tekirdağ ve çanakkalede de hissedilen 66 büyüklüğünde bir deprem meydana geldi,Tarafsız
lütfen yetkililerin oradaki insanlara ulaşılabilmesi için arama yapmayalım bir süre dışarı çıkanlar apartman altlarında beklemesin sağlık çalışanlarının üstüne bir yük daha binecek yardımcı olalım,Tarafsız
izmirde 66 büyüklüğündeki deprem sonrası yıkılan binalar var foxhaber httpstcootkcxetd4l,Tarafsız
meydana gelen deprem sebebiyle başta izmirliler olmak üzere tüm milletimize geçmiş olsun dileklerimi iletiyorum can kaybı olmaması için cenabı allaha dua ediyoruz geçmiş olsun izmir,Tarafsız
izmirim canlarınıza en ufak zarar gelmemiş olması en büyük dileğim çok geçmiş olsun izmir deprem httpstcojqzj6jyiq6,Olumsuz
özellikle deprem bölgesindeki dostlara 1 wifi parolalarınızı kaldırın bu sayede iletişim ağını genişletin 2 sesli arama yerine sms kullanın 3 sosyal medyadaki otomatik video izleme modunu kapatın video paylaşmayın 4 veriyi çok tüketen uygulamardan uzak durun deprem,Tarafsız
deprem yeni görüntüler httpstcowhxveqgbhe,Tarafsız
lütfen cep telefonuyla konuşmak yerine sms hizmetlerini kullanın arama kurtarma ekiplerinin işini kolaylaştırın deprem izmir,Tarafsız
duamız ve kulağımız izmirden gelecek yüreğimizi hafifletecek iyi haberlerde rabbim ülkemizi ve milletimizi her türlü felaketlerden muhafaza eyle deprem,Tarafsız
izmirde görüntüler çok üzücü tek ümidimiz inşallah bir can kaybı yaşanmamıştır deprem httpstconjsibzdoht,Tarafsız
önemli uyari lütfen her yerden yayın enkaz alanlarında vatandaşlar yüksek sesle konuşmasın bağırmasın arama kurtarma çalışmalarına engel oluyor kimse hasarlı binalara evlere girmesin telefon değil web tabanlı uygulamalar ve sms ile iletişimi tercih edin deprem httpstco3amnmnmxmj,Tarafsız
çok geçmiş olsun deprem izmir,Tarafsız
deprem mizahı utanç vericidir deprem mizahı iğrenç bir durumdur deprem mizahı zeka geriliği göstergesidir deprem mizahı hastalıktır deprem mizahı insanlık dışıdır,Tarafsız
disari ciksan virüs evde dursan deprem anasini sikeyim böyle hayatin,Tarafsız
geçmiş olsun izmir deprem,Tarafsız
1 arpa boyu hazırlığımız yok 17 ağustos depreminden bu yana httpstcozszshohgr2,Tarafsız
geçmiş olsun ege denizinde meydana gelen 68 şiddetindeki depremden etkilenen vatandaşlarımıza geçmiş olsun dileklerimizi iletiyor can kaybının olmamasını temenni ediyoruz httpstcomsmdl04hqi,Olumsuz
maalesef depremin yıkıma neden olduğu görülüyor lütfen yıkım görüntülerini paylaşmayın çocuklarınız varsa olabildiğince sakin kalın ve onlara yakın durup sarılın bunun deprem olduğunu ve geçtiğini söyleyin uzaktalarsa arayıp iyi olduğunuzu iletin ve mümkünse yanlarına gidn,Tarafsız
merkez üssü egedenizi olan depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimi iletiyor can kaybı olmamasını temenni ediyorum rabbim ülkemizi ve milletimizi her türlü felaketten korusun,Tarafsız
önemli duyuru deprem httpstco2plbff74tq,Tarafsız
lütfen destek ekibi oluşturalım yıkılan binalar var ulaşamayanlar internetten arayın arama kurtarma ekipleri için telefon araması yapmayın depremdairesi httpstcoq8kdlyvhxp,Tarafsız
dikkat izmirde meydana gelen deprem sonrası zorunlu olmadıkça şebekeyi ve internet tabanlı konuşma servislerini meşgul etmeyelim eğer kullanmak zorundaysak internet servislerini whatsapp facetime bip gibi kullanalım telefon şebekelerini lütfen meşgul etmeyelim httpstcoh2yel7kare,Tarafsız
acil durumlar için internet olmadan çalışan iletişim ağınızın kopmamasını sağlayan mesajlaşma uygulamaları 1 firechat hata veriyor 2 bridgefy 3 flows 4 signal offline messenger 5 meshtalk deprem internet ile çalışan telsiz uygulamaları 1 zello 2 heytell 3 voxer,Tarafsız
allahım sen yardım et deprem httpstcoyks1izg4ku,Tarafsız
geçmiş olsun izmir izmir deprem,Tarafsız
deprem sisam adasi ege denizi httpstcomcomscvazr 30102020 151909 tsi büyüklük 40 derinlik 86 km kandilli,Tarafsız
depremlerde ve acil durumlarda iletişimin kesilmemesi için internet tabanlı haberleşme uygulamaları ve smsi tercih edin deprem httpstcotodfpom884,Tarafsız
merkez üssü izmir olan istanbul ve marmara çevresindeki illerde de hissedilen depremin can ve mal kaybına sebep olmadığını ümit ediyor sarsıntıyı hisseden tüm halkımıza geçmiş olsun dileklerimi iletiyorum rabbim muhafaza etsin,Tarafsız
izmirde su seviyesi yükseldi tsunami benzeri görüntüler ortaya çıkıyor deprem httpstcodbxccgks5c,Tarafsız
ege ve marmara bölgelerinde hissedilen izmir merkezli depremde hiçbir vatandaşımızın zarar görmemesini temenni ediyor bölgedeki vatandaşlarımıza geçmiş olsun dileklerimizi sunuyoruz,Olumsuz
izmirdeki deprem hepimizi çok üzdü tedirgin etti rabbimden can kaybı olmamasını diliyorum httpstconvwfp842m1,Tarafsız
deprem anında kullanılması gereken en önemli uygulamalardan biridir belki de telefon hatları kapalı olsa dahi güvendeyim butonuna bastığınız anda daha önceden seçtiğiniz kişilere koordinatlarınızla beraber mesaj gönderiyor deprem httpstco9mvgwyovzi,Tarafsız
aliağa ile ilgili bilgisi olan var mı kardesime ulaşamiyorum,Tarafsız
izmir seferihisar da yasanan depremden sonra deniz taştı ust katlarda mahsur kaldik cok fazla zarar var httpstcotfhkjjkfga,Olumsuz
önemli depremden sonra telefon görüşmelerinizi mümkün olduğunca kısa tutun haberleşmek için kısa mesaj servisi sms ve internet tabanlı mesajlaşma uygulamalarını tercih edin hayati durumlar dışında telefon görüşmesi yapmaktan kaçının deprem,Tarafsız
izmirde deprem anında çöken bir bina görüntülendi httpstcouxa8hyl8hr,Tarafsız
izmir seferihisarda deniz seviyesi yükseliyor deprem httpstconzc2ym1asv,Tarafsız
önemli depremden sonra telefon görüşmelerinizi mümkün olduğunca kısa tutun haberleşmek için kısa mesaj servisi sms veya internet tabanlı mesajlaşma uygulamalarını tercih edin hayati durumlar dışında telefon görüşmesi yapmaktan kaçının deprem,Tarafsız
izmirde deprem sonrası deniz çekildi deprem httpstcofaa9vukd74,Tarafsız
izmirde olan arkadaşlar wifi şifrelerinizi kaldırın herkese açık yapın hatlar çökmüş durumda whatsapp dan ulaşım sağlasınlar mesaj yoluyla ulaşın bir birinize ve foto çekip paylaşım iyiyiz diye deprem,Tarafsız
izmirde durum kötü geçmiş olsun izmir allah yar yardımcımız olsun hepimizin izmir deprem httpstco5m3lvvgwnn,Tarafsız
bunu yayar misiniz bu uygulamayi ne olur indirin deprem anında akuta ve anne babanıza nerede olduğunuzu mesaj atıyor akut ve afad destekli bir uygulama httpstconn1cpio2tl,Tarafsız
izmirde sular geri çekildi deprem httpstcovdjtqzcqr3,Tarafsız
bu çok önemli zorunda kalmadıkça mobil hattı işgal etmeyiniz deprem izmir httpstcoglknd9arke,Tarafsız
şu ana kadar izmir bornova ve bayraklıda 6 bina yıkılma ihbarı geldi uşak denizli manisa balikesir aydın ve muğlada ufak çatlaklar dışında ve can kaybı ile ilgili herhangi bir ihbar gelmemiştir ekiplerimiz sahada tarama ve müdahalelerine devam etmektedir geçmiş olsun,Tarafsız
deniz de taşmış httpstcopzgm3yutni,Tarafsız
2artçı depremler yaşanabilir hasarlı binalar bu artçılar da yıkılabilir uzmanlar yetkililer onay vermeden binalarınıza girmeyiniz gereksiz telefon görüşmesi yapmayınız görüşmelerizi kısa yapınız konuşmak yerine sms ve internet tabanlı olarak yapınız deprem,Tarafsız
geçmiş olsun ege bölgesi ve çevresinde etkili bir biçimde hissedilen depremden etkilenen vatandaşlarımıza geçmiş olsun dileklerimizi iletiyor can kaybı yaşanmamasını temenni ediyoruz httpstcowfylrbpwwk,Tarafsız
izmirde binanın yıkılma anı çok kötü görüntüler deprem httpstcodxgvdozana,Tarafsız
son dakika izmir seferihisarda depremin etkisi ile deniz seviyesi yükseliyor httpstcoiwxnahmfno,Tarafsız
hepimize çok geçmiş olsun ihtiyaç halinde yardımcı olabilmemiz için bize ulaşabileceğiniz telefon numarası 90 534 770 76 90 ünitimsah izmir olarak her türlü yardıma hazırız httpstcozfqg0unfux,Tarafsız
merkezi izmir olan istanbul ve çevre illerde de hissedilen depremde can ve mal kaybı olmaması arzumuzdur depremi hisseden tüm insanımıza geçmiş olsun dileklerinde bulunuyorum rabbim ülkemizimilletimizi muhafaza etsin httpstco4dmyxarcft,Tarafsız
izmir seferihisar açıklarında meydana gelen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimi sunuyorum rabbim milletimizi memleketimizi her türlü doğal afetten ve şerden muhafaza etsin httpstcoaxdsc07okk,Tarafsız
izmirde yaşanan depremde can kaybı olmaması en büyük duamız lütfen afadın yayınladığı aşağıdaki talimatlara uyalım allah izmirdeki ve depremden etkilenen diğer bölgelerdeki kardeşlerimizi korusun deprem httpstcohxoqaa9gph,Tarafsız
izmir açıklarında meydana gelen ege ve marmaranın birçok bölgesinde hissedilen deprem nedeniyle halkımıza geçmiş olsun dileklerinde bulunuyoruz herhangi bir can kaybının yaşanmaması tek dileğimizdir bu zor günleri dayanışmayla el ele vererek aşacağız httpstcoqumuysclfe,Tarafsız
allah beterinden korusun kulağımız izmirden gelecek yüreğimizi hafifletecek iyi haberlerde dualarımız sizler ile rabbim ülkemizi ve milletimizi her türlü felaketlerden muhafaza eylesin izmir deprem,Tarafsız
izmirde meydana gelen ve çevre illerde de hissedilen depremin can ve mal kaybına sebep olmamasını ümit ediyor depremden etkilenen tüm vatandaşlarımıza geçmiş olsun diliyorum,Tarafsız
deprem bölgesindeki kişilere 1112 110155 numaralarini boşuna meşgul etmeyin 2wifi parolalarınızı kaldırın bu sayede iletişim ağını genişletin 3sesli arama yerine sms kullanın 4sosyal medyadaki otomatik video izleme modunu kapatın video paylaşmayın deprem,Tarafsız
deprem mizahı yapan insanlar siz hiçbir şeyi hak etmiyorsunuz,Tarafsız
allah milletimizi tüm afet ve felaketlerden korusun deprem geçmiş olsun izmir izmirbld,Tarafsız
önemli depremden sonra telefon görüşmelerinizi mümkün olduğunca kısa tutun haberleşmek için kısa mesaj servisi sms ve internet tabanlı mesajlaşma uygulamalarını tercih edin hayati durumlar dışında telefon görüşmesi yapmaktan kaçının deprem,Tarafsız
sığacıkda deniz çekildi balıkçı tekneleri karaya oturdu deprem httpstcos0nwi3da5g,Tarafsız
izmirden gelen görüntüler çok büyük geçmiş olsun deprem httpstco91iglg6pd1,Tarafsız
son dakika izmirdeki depremin ardından seferihisarda deniz seviyesinin yükseldiği görüldü httpstcobmgfigkkww,Tarafsız
izmir deprem depremden etkilenen herkese büyük geçmiş olsun telefon görüşmelerini çok kısa tutalım ve gerekmedikçe yapmayalım mesaj uygulamalarını tercih edelim mutlaka doğru bilgi yayalım özellikle yıkım varsa ani müdahaleler yerine kurtarma ekiplerini bekleyelim,Tarafsız
izmirde yaşanan depremin ardından yaklaşık 60 ilden 250 kişilik ihh arama kurtarma ekibi bölgeye doğru harekete geçti mobil aşevimiz de hazırlıklarının bitmesinin ardından yola çıkacak,Tarafsız
izmirde güçlü bir şekilde hissedilen deprem ile ilgi ahbap ekipleri yola çıktılarben de başlarında olacağım elazığ depreminde başlangıcını yapıp daha sonra da yapılanmasını hep birlikte geliştirdiğimiz stk afet platformu olarak da harekete geçiyoruz canlarım geçmişolsunizmir,Tarafsız
izmirde meydana gelen depremde can ve mal kaybının olmamasını temenni ediyor vatandaşlarımıza geçmiş olsun dileklerimizi iletiyoruz lütfen gerekmedikçe telefon hatlarını meşgul etmeyelim sosyal medya üzerinden mesajlaşma veya sms yoluyla iletişim kuralım deprem izmir httpstcogrfeavrs2d,Tarafsız
